,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ABW,25.214327130307144,25.15916987852857,25.44019208645357,25.839735847921425,26.058126177096423,26.16638837560357,26.494420733392847,26.99456787094286,27.30193219851429,27.198112487903575,26.70765250089642,25.83140672983214
AFG,-1.3176499867769453,1.5136499857931205,6.508558091563252,12.122643752081645,17.538630168030522,22.53465757838924,24.691299910997646,22.92455066525887,18.018476867825246,11.59243025974917,4.8529151553551575,-0.18173230479952046
AGO,23.887148389304343,23.946893135073843,24.078001911325078,23.814747425108003,22.69860816112182,21.306612074127873,21.242443250215178,22.959208162211336,25.11910603176647,25.68132504773649,24.786504591637033,24.07461979108867
ALB,6.052463349790607,6.778387523811512,8.919838678085359,12.198169890145476,16.479806809315477,21.261943271815472,24.726327805915485,24.45449211446666,19.715959821450003,14.379248119750482,9.923925490499524,7.271595909489832
AND,8.785665239633571,9.479131426132144,10.824868338582856,12.832859584214285,15.767558507078567,19.59274074040714,22.470312935685705,22.260216849321427,19.218331473399996,15.259169442257145,11.740152631475004,9.549895150414287
ARE,17.56820974579745,20.018983178951526,24.65691764977704,29.658905340443884,33.860258763945914,37.084832950243374,37.851346230399486,36.81662298685817,34.20575340437653,29.447545576843368,23.824745178111222,18.86652358670102
ARG,20.636240990595375,20.191020326658208,18.006368962225192,14.389796215069556,10.739385866760363,8.333221403906487,7.831360282279107,9.091245210976526,11.361818806376363,14.035045518809218,17.0120244914279,19.454129648976448
ARM,-1.5974788119512426,-0.17965175081630877,3.445742143856036,8.21236376082193,13.358625793497927,18.293775721537855,22.149304852792856,21.805818612387863,16.360330636272145,10.098982892750929,3.9328397478328996,0.026139831397902935
ASM,28.288068499642858,28.494337899007142,28.523503985132148,28.435259138325,27.989954267517845,27.292148044853576,26.730613708214285,26.554397582849994,26.738265991367864,27.141940525167858,27.596585954967857,27.992304120842856
ATG,25.129855019512508,24.71382849538393,24.67983845326071,25.025353022614286,25.634575980242854,26.227610452023217,26.782398224046432,27.301798683594644,27.53543254290357,27.37930243363929,26.807138715292865,25.913369859969638
AUS,27.338835415618668,26.781202344261356,25.362382546043968,22.69638938784318,19.176820426738654,16.297473377089883,15.545219959050522,17.197620200312794,20.248542548417664,23.445154787088192,25.63317854161591,26.890332389755986
AUT,0.1479037394739338,0.9394456938917041,3.275607716004688,7.050096883455908,11.790333536705388,16.036448094382468,18.30251530226331,17.165012904839937,12.955625955300878,8.13596056661159,3.900072073011588,1.1826880318442246
AZE,1.7926607006663995,2.8639297486758695,5.890084006476739,10.076997831225778,14.966850974420812,19.863170078646426,23.518961225111365,23.136798808998375,18.390772040001625,12.847865216295391,7.211337201006188,3.443251969079155
BDI,20.50689079655595,21.14927636988214,21.55356270914524,21.61755225736071,21.187109810982147,20.77732522112024,20.92111496686905,21.862364995845237,22.390958150491663,21.748300824392857,20.69443148661667,20.222205025520235
BEL,4.178563617485126,4.538157690209048,5.917069752980774,8.565423874663214,12.040496462657677,15.606682913701784,17.730494544725598,17.097221192738097,14.183769771001192,10.29090336403881,7.026128496450001,4.991824740401905
BEN,24.05907521928884,26.566914967756695,29.376423699260272,30.04775701243661,28.982789584335716,27.850952285032132,26.75667353994509,26.037893023073217,26.58336530399285,27.179583004287505,26.39147812989287,24.160363061079465
BFA,22.910533905421943,25.79421934810051,29.316805313852296,31.180595631826783,30.760388743860705,29.575604808390306,28.26043086105638,27.228135011427046,27.75054464537424,28.04436267135765,26.23361478558954,23.125025378947445
BGD,17.03577793703932,19.768644823167072,23.65140511631571,27.02494376073142,28.495700291004994,28.25278788978465,27.044157627999997,26.449010794458218,25.680377415121068,23.570459202234993,20.233461870390077,17.341220856191892
BGR,2.695091519911248,3.6319040570730636,6.404568399581918,10.583042145117812,15.485148838235713,20.27273872969018,23.44882474671116,22.996660232339284,17.819953101128124,12.06153692499643,7.0577635084144195,4.082874843215661
BHR,16.07763562888572,18.35872650147143,22.444670540703566,26.78942108179643,31.163113184917854,35.12539454868572,36.87447030185357,36.352212088603565,33.58822958808572,28.82926940904643,22.705450876025,17.47830527236786
