DATE,DTWEXAFEGS
2015-12-11,110.897
2015-12-14,110.8929
2015-12-15,111.6244
2015-12-16,111.7019
2015-12-17,112.9587
2015-12-18,112.2767
2015-12-21,112.2223
2015-12-22,111.864
2015-12-23,112.1137
2015-12-24,111.5614
2015-12-25,.
2015-12-28,111.6079
2015-12-29,111.8677
2015-12-30,111.9448
2015-12-31,112.1543
2016-01-01,.
2016-01-04,112.6815
2016-01-05,112.9969
2016-01-06,113.1417
2016-01-07,112.6368
2016-01-08,112.7498
2016-01-11,112.8366
2016-01-12,113.4069
2016-01-13,113.2919
2016-01-14,113.5331
2016-01-15,113.4204
2016-01-18,.
2016-01-19,113.8255
2016-01-20,113.8695
2016-01-21,113.5059
2016-01-22,.
2016-01-25,.
2016-01-26,.
2016-01-27,113.0167
2016-01-28,112.6175
2016-01-29,113.6106
2016-02-01,113.0476
2016-02-02,112.9242
2016-02-03,111.3618
2016-02-04,110.2448
2016-02-05,111.0458
2016-02-08,110.8376
2016-02-09,109.96
2016-02-10,110.4287
2016-02-11,109.483
2016-02-12,109.937
2016-02-15,.
2016-02-16,110.6873
2016-02-17,110.2981
2016-02-18,110.4935
2016-02-19,110.3547
2016-02-22,110.7759
2016-02-23,110.9738
2016-02-24,110.8618
2016-02-25,110.5858
2016-02-26,111.1764
2016-02-29,111.1934
2016-03-01,111.1383
2016-03-02,111.1264
2016-03-03,110.3778
2016-03-04,109.9337
2016-03-07,109.8121
2016-03-08,109.8076
2016-03-09,109.4945
2016-03-10,109.2025
2016-03-11,108.6516
2016-03-14,109.2372
2016-03-15,109.4192
2016-03-16,109.7713
2016-03-17,107.1417
2016-03-18,107.2276
2016-03-21,107.6767
2016-03-22,107.9385
2016-03-23,108.7356
2016-03-24,108.9478
2016-03-25,109.001
2016-03-28,108.5308
2016-03-29,108.4564
2016-03-30,107.2481
2016-03-31,106.9887
2016-04-01,107.2941
2016-04-04,107.1233
2016-04-05,107.4998
2016-04-06,106.9109
2016-04-07,107.1817
2016-04-08,106.7213
2016-04-11,106.3249
2016-04-12,106.1727
2016-04-13,106.7379
2016-04-14,106.9594
2016-04-15,106.7728
2016-04-18,106.5089
2016-04-19,105.8325
2016-04-20,106.022
2016-04-21,106.4127
2016-04-22,106.8166
