DATE,DTWEXEMEGS
2015-12-11,115.8689
2015-12-14,115.9457
2015-12-15,115.4369
2015-12-16,115.6111
2015-12-17,116.0372
2015-12-18,115.643
2015-12-21,115.9558
2015-12-22,115.902
2015-12-23,115.6039
2015-12-24,115.8806
2015-12-25,.
2015-12-28,115.8267
2015-12-29,115.8098
2015-12-30,116.3446
2015-12-31,115.8782
2016-01-01,.
2016-01-04,116.992
2016-01-05,116.8887
2016-01-06,117.4518
2016-01-07,118.0247
2016-01-08,118.6318
2016-01-11,118.5519
2016-01-12,118.5783
2016-01-13,118.3508
2016-01-14,118.5953
2016-01-15,119.4218
2016-01-18,.
2016-01-19,119.1645
2016-01-20,120.1993
2016-01-21,119.8349
2016-01-22,.
2016-01-25,.
2016-01-26,.
2016-01-27,119.3711
2016-01-28,119.197
2016-01-29,118.9014
2016-02-01,118.9866
2016-02-02,119.5573
2016-02-03,119.2487
2016-02-04,118.3315
2016-02-05,118.9171
2016-02-08,119.4182
2016-02-09,119.6998
2016-02-10,119.538
2016-02-11,120.3156
2016-02-12,120.08
2016-02-15,.
2016-02-16,119.6885
2016-02-17,118.8112
2016-02-18,118.6648
2016-02-19,118.9421
2016-02-22,118.2374
2016-02-23,118.7525
2016-02-24,118.8556
2016-02-25,118.6353
2016-02-26,118.9448
2016-02-29,118.6652
2016-03-01,118.0823
2016-03-02,117.83
2016-03-03,117.4783
2016-03-04,116.6924
2016-03-07,116.785
2016-03-08,117.2431
2016-03-09,116.7114
2016-03-10,116.9911
2016-03-11,116.1771
2016-03-14,116.446
2016-03-15,117.0429
2016-03-16,117.1323
2016-03-17,115.0893
2016-03-18,114.9095
2016-03-21,115.1315
2016-03-22,114.9655
2016-03-23,115.6948
2016-03-24,116.0231
2016-03-25,115.8745
2016-03-28,115.5203
2016-03-29,115.63
2016-03-30,114.5426
2016-03-31,114.1731
2016-04-01,114.6282
2016-04-04,115.011
2016-04-05,115.7403
2016-04-06,115.5061
2016-04-07,115.9434
2016-04-08,115.4678
2016-04-11,114.9679
2016-04-12,114.8023
2016-04-13,114.8891
2016-04-14,114.7111
2016-04-15,114.9523
2016-04-18,114.8101
2016-04-19,114.0598
2016-04-20,114.0981
2016-04-21,114.6353
2016-04-22,114.9986
2016-04-25,115.1816
2016-04-26,114.7211
2016-04-27,114.7715
2016-04-28,114.1269
2016-04-29,114.06
2016-05-02,114.1623
2016-05-03,115.0594
2016-05-04,115.5968
2016-05-05,115.7772
2016-05-06,115.9604
2016-05-09,116.5915
2016-05-10,116.2732
2016-05-11,115.8505
2016-05-12,116.3043
2016-05-13,116.7333
2016-05-16,116.7974
2016-05-17,116.8424
2016-05-18,117.3138
2016-05-19,118.0103
2016-05-20,117.6318
2016-05-23,117.8111
2016-05-24,117.8078
2016-05-25,117.7713
2016-05-26,117.608
2016-05-27,117.6979
2016-05-30,.
2016-05-31,117.9395
2016-06-01,118.2235
2016-06-02,118.3156
2016-06-03,117.7189
2016-06-06,117.5191
2016-06-07,117.0367
2016-06-08,116.2513
2016-06-09,116.6722
2016-06-10,117.2723
2016-06-13,117.9832
2016-06-14,118.4943
2016-06-15,118.06
2016-06-16,118.4965
2016-06-17,118.0713
2016-06-20,117.4757
2016-06-21,117.4836
2016-06-22,117.1023
2016-06-23,116.544
2016-06-24,118.296
2016-06-27,119.2108
2016-06-28,118.4323
2016-06-29,117.343
2016-06-30,117.3096
2016-07-01,117.1189
2016-07-04,.
2016-07-05,118.1696
2016-07-06,118.2651
2016-07-07,118.377
2016-07-08,117.6962
2016-07-11,117.6089
2016-07-12,117.1073
2016-07-13,117.2752
2016-07-14,116.8237
2016-07-15,117.3219
2016-07-18,117.3377
2016-07-19,117.5566
2016-07-20,117.542
2016-07-21,117.5649
2016-07-22,117.6313
2016-07-25,118.0345
2016-07-26,118.0106
2016-07-27,118.124
2016-07-28,117.9632
2016-07-29,117.3912
2016-08-01,117.4401
2016-08-02,117.4762
2016-08-03,117.6358
2016-08-04,117.4328
2016-08-05,117.5402
2016-08-08,116.9844
2016-08-09,116.4295
2016-08-10,116.1426
2016-08-11,115.964
2016-08-12,116.106
2016-08-15,115.6941
2016-08-16,115.4437
2016-08-17,116.3441
2016-08-18,115.8089
2016-08-19,116.4189
2016-08-22,116.6449
2016-08-23,116.6483
2016-08-24,117.0569
2016-08-25,116.8117
2016-08-26,116.5852
2016-08-29,117.3086
2016-08-30,117.717
2016-08-31,117.7809
2016-09-01,117.7263
2016-09-02,117.3793
2016-09-05,.
2016-09-06,116.4411
2016-09-07,116.3525
2016-09-08,116.8431
2016-09-09,117.6645
2016-09-12,118.1565
2016-09-13,118.5651
2016-09-14,118.5436
2016-09-15,118.5961
2016-09-16,119.3314
2016-09-19,118.9938
2016-09-20,119.3822
2016-09-21,119.2332
2016-09-22,118.5168
2016-09-23,118.9354
2016-09-26,119.1854
2016-09-27,118.4746
2016-09-28,118.5854
2016-09-29,118.3035
2016-09-30,118.2592
2016-10-03,118.3157
2016-10-04,118.2585
2016-10-05,118.3273
2016-10-06,118.3312
2016-10-07,118.5248
2016-10-10,.
2016-10-11,118.3652
2016-10-12,118.4842
2016-10-13,118.6295
2016-10-14,118.6383
2016-10-17,118.4894
2016-10-18,117.8827
2016-10-19,117.633
2016-10-20,117.8324
2016-10-21,118.1666
2016-10-24,117.9968
2016-10-25,117.7329
2016-10-26,118.1011
2016-10-27,118.5636
2016-10-28,118.4124
2016-10-31,118.4719
2016-11-01,118.9648
2016-11-02,119.4663
2016-11-03,119.1804
2016-11-04,118.9869
2016-11-07,118.2423
2016-11-08,117.7722
2016-11-09,120.186
2016-11-10,122.0051
2016-11-11,.
2016-11-14,123.3254
2016-11-15,122.522
2016-11-16,122.5822
2016-11-17,122.4405
2016-11-18,123.0769
2016-11-21,123.0999
2016-11-22,123.0996
2016-11-23,123.7685
2016-11-24,.
2016-11-25,123.7313
2016-11-28,123.3969
2016-11-29,123.4116
2016-11-30,123.1551
2016-12-01,123.5995
2016-12-02,123.296
2016-12-05,123.1732
2016-12-06,122.7765
2016-12-07,122.4987
2016-12-08,122.5588
2016-12-09,122.7098
2016-12-12,122.4013
2016-12-13,122.3879
2016-12-14,122.3931
2016-12-15,123.712
2016-12-16,123.4991
2016-12-19,123.4617
2016-12-20,123.4943
2016-12-21,123.5089
2016-12-22,123.9367
2016-12-23,123.6407
2016-12-26,.
2016-12-27,123.9298
2016-12-28,124.1168
2016-12-29,123.8267
2016-12-30,123.7174
2017-01-02,.
2017-01-03,124.3359
2017-01-04,124.6597
2017-01-05,124.0766
2017-01-06,124.2925
2017-01-09,124.4552
2017-01-10,124.7639
2017-01-11,125.2795
2017-01-12,124.2922
2017-01-13,124.2915
2017-01-16,.
2017-01-17,123.8412
