LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,HOSPITALBED,TOT,1000HAB,A,2016,9.65
AUT,HOSPITALBED,TOT,1000HAB,A,2017,9.94
BEL,HOSPITALBED,TOT,1000HAB,A,2018,7.68
BRA,HOSPITALBED,TOT,1000HAB,A,2012,3.24
CAN,HOSPITALBED,TOT,1000HAB,A,2018,6.92
CHE,HOSPITALBED,TOT,1000HAB,A,2017,6.63
CHL,HOSPITALBED,TOT,1000HAB,A,2017,2.77
CHN,HOSPITALBED,TOT,1000HAB,A,2017,4.34
COL,HOSPITALBED,TOT,1000HAB,A,2018,1.71
CRI,HOSPITALBED,TOT,1000HAB,A,2017,3.01
CZE,HOSPITALBED,TOT,1000HAB,A,2017,10.11
DEU,HOSPITALBED,TOT,1000HAB,A,2017,10.12
DNK,HOSPITALBED,TOT,1000HAB,A,2018,4.64
ESP,HOSPITALBED,TOT,1000HAB,A,2017,5.36
EST,HOSPITALBED,TOT,1000HAB,A,2017,12.37
FIN,HOSPITALBED,TOT,1000HAB,A,2017,8.25
FRA,HOSPITALBED,TOT,1000HAB,A,2017,8.49
GBR,HOSPITALBED,TOT,1000HAB,A,2017,4.08
GRC,HOSPITALBED,TOT,1000HAB,A,2017,6.47
HUN,HOSPITALBED,TOT,1000HAB,A,2017,8.16
IDN,HOSPITALBED,TOT,1000HAB,A,2017,1.04
IND,HOSPITALBED,TOT,1000HAB,A,2017,0.72
IRL,HOSPITALBED,TOT,1000HAB,A,2017,9.13
ISL,HOSPITALBED,TOT,1000HAB,A,2018,4.12
ISR,HOSPITALBED,TOT,1000HAB,A,2018,4.95
ITA,HOSPITALBED,TOT,1000HAB,A,2017,10.61
JPN,HOSPITALBED,TOT,1000HAB,A,2017,15.58
KOR,HOSPITALBED,TOT,1000HAB,A,2017,12.27
LTU,HOSPITALBED,TOT,1000HAB,A,2017,12.81
LUX,HOSPITALBED,TOT,1000HAB,A,2018,6.39
LVA,HOSPITALBED,TOT,1000HAB,A,2017,14.24
MEX,HOSPITALBED,TOT,1000HAB,A,2017,1.83
NLD,HOSPITALBED,TOT,1000HAB,A,2017,5.82
NOR,HOSPITALBED,TOT,1000HAB,A,2017,7.27
NZL,HOSPITALBED,TOT,1000HAB,A,2018,2.83
POL,HOSPITALBED,TOT,1000HAB,A,2017,6.68
PRT,HOSPITALBED,TOT,1000HAB,A,2017,4.07
RUS,HOSPITALBED,TOT,1000HAB,A,2017,13.23
SVK,HOSPITALBED,TOT,1000HAB,A,2017,8.32
SVN,HOSPITALBED,TOT,1000HAB,A,2017,6.93
SWE,HOSPITALBED,TOT,1000HAB,A,2017,15.64
TUR,HOSPITALBED,TOT,1000HAB,A,2017,2.81
USA,HOSPITALBED,TOT,1000HAB,A,2016,9.18
ZAF,HOSPITALBED,TOT,1000HAB,A,2010,3.13
